"Image_ID","Scene_Type","Objects_Detected","Bounding_Boxes","Confidence"
"IMG_130","Fire Scene","fire","fire:[2.0,1.0,960.0,720.0]","1.0"
"IMG_131","Fire Scene","fire","fire:[1017.0,5.0,5568.0,3224.0]; fire:[479.0,2148.0,731.0,2429.0]","1.0"
"IMG_132","Fire Scene","fire","fire:[446.0,1.0,696.0,303.0]","1.0"
"IMG_133","Fire Scene","fire","fire:[321.0,1.0,682.0,361.0]","1.0"
"IMG_134","Fire Scene","fire","fire:[41.0,40.0,314.0,349.0]","1.0"
"IMG_135","Fire Scene","fire","fire:[654.0,44.0,1009.0,395.0]; fire:[169.0,475.0,333.0,584.0]; fire:[23.0,517.0,137.0,606.0]; fire:[383.0,154.0,639.0,343.0]","1.0"
"IMG_136","Fire Scene","fire","fire:[244.0,167.0,426.0,502.0]","1.0"
"IMG_137","Fire Scene","fire","fire:[403.0,142.0,464.0,169.0]","1.0"
"IMG_138","Fire Scene","fire","fire:[355.0,215.0,427.0,364.0]; fire:[379.0,169.0,400.0,193.0]; fire:[244.0,123.0,260.0,146.0]; fire:[178.0,94.0,207.0,114.0]","1.0"
"IMG_139","Fire Scene","fire","fire:[225.0,121.0,393.0,364.0]; fire:[182.0,320.0,262.0,369.0]; fire:[573.0,313.0,630.0,369.0]; fire:[625.0,354.0,675.0,395.0]; fire:[347.0,324.0,435.0,365.0]","1.0"
"IMG_140","Fire Scene","fire","fire:[144.0,78.0,197.0,159.0]; fire:[157.0,50.0,175.0,71.0]","1.0"
"IMG_141","Fire Scene","fire","fire:[381.0,37.0,853.0,449.0]; fire:[531.0,408.0,687.0,466.0]; fire:[57.0,386.0,106.0,443.0]; fire:[252.0,370.0,294.0,401.0]; fire:[297.0,418.0,320.0,435.0]; fire:[660.0,437.0,769.0,528.0]; fire:[209.0,359.0,233.0,401.0]","1.0"
"IMG_142","Fire Scene","fire","fire:[560.0,199.0,649.0,270.0]","1.0"
"IMG_143","Accident Scene","fire","fire:[257.0,121.0,307.0,154.0]","1.0"
"IMG_144","Fire Scene","fire","fire:[403.0,98.0,541.0,260.0]","1.0"
"IMG_145","Fire Scene","fire","fire:[279.0,112.0,469.0,368.0]; fire:[102.0,469.0,158.0,538.0]; fire:[276.0,375.0,341.0,534.0]; fire:[176.0,503.0,211.0,535.0]; fire:[237.0,448.0,255.0,487.0]","1.0"
"IMG_146","Fire Scene","fire","fire:[143.0,98.0,444.0,389.0]; fire:[1.0,219.0,26.0,241.0]; fire:[159.0,2.0,190.0,53.0]","1.0"
"IMG_147","Fire Scene","fire","fire:[422.0,575.0,442.0,596.0]","1.0"
"IMG_148","Fire Scene","fire","fire:[1.0,73.0,35.0,136.0]","1.0"
"IMG_149","Fire Scene","fire","fire:[50.0,124.0,366.0,376.0]; fire:[380.0,238.0,436.0,351.0]","1.0"
"IMG_150","Fire Scene","fire","fire:[602.0,100.0,668.0,237.0]; fire:[623.0,240.0,665.0,293.0]; fire:[195.0,3.0,418.0,273.0]; fire:[1.0,25.0,25.0,113.0]; fire:[86.0,63.0,136.0,116.0]; fire:[625.0,320.0,641.0,359.0]","1.0"
"IMG_151","Fire Scene","fire","fire:[247.0,48.0,540.0,244.0]; fire:[186.0,159.0,249.0,236.0]","1.0"
"IMG_152","Fire Scene","fire","fire:[367.0,260.0,403.0,283.0]; fire:[567.0,263.0,624.0,272.0]","1.0"
"IMG_153","Fire Scene","fire","fire:[413.0,29.0,738.0,313.0]; fire:[177.0,300.0,270.0,431.0]; fire:[230.0,145.0,396.0,288.0]","1.0"
"IMG_154","Fire Scene","fire","fire:[199.0,136.0,360.0,255.0]; fire:[381.0,128.0,438.0,194.0]; fire:[398.0,193.0,501.0,229.0]; fire:[347.0,329.0,377.0,390.0]; fire:[491.0,178.0,530.0,217.0]","1.0"
"IMG_155","Fire Scene","fire","fire:[363.0,272.0,514.0,528.0]","1.0"
"IMG_156","Fire Scene","fire","fire:[215.0,94.0,364.0,205.0]; fire:[171.0,126.0,195.0,142.0]; fire:[155.0,181.0,211.0,192.0]; fire:[49.0,114.0,143.0,141.0]; fire:[28.0,142.0,48.0,155.0]; fire:[308.0,221.0,331.0,246.0]","1.0"
"IMG_157","Fire Scene","fire","fire:[177.0,186.0,258.0,201.0]","1.0"
"IMG_158","Fire Scene","fire","fire:[179.0,312.0,355.0,415.0]; fire:[512.0,388.0,570.0,422.0]; fire:[257.0,179.0,727.0,350.0]; fire:[710.0,263.0,760.0,287.0]","1.0"
"IMG_159","Fire Scene","fire","fire:[90.0,183.0,400.0,400.0]","1.0"
"IMG_160","Fire Scene","fire","fire:[317.0,106.0,498.0,358.0]","1.0"
"IMG_161","Fire Scene","fire","fire:[318.0,137.0,529.0,277.0]; fire:[226.0,238.0,290.0,276.0]","1.0"
"IMG_162","Fire Scene","fire","fire:[323.0,127.0,432.0,239.0]","1.0"
"IMG_163","Fire Scene","fire","fire:[135.0,234.0,378.0,354.0]","1.0"
"IMG_164","Fire Scene","fire","fire:[1.0,255.0,34.0,295.0]; fire:[108.0,236.0,191.0,314.0]; fire:[38.0,262.0,114.0,293.0]; fire:[197.0,245.0,301.0,309.0]; fire:[300.0,271.0,357.0,297.0]","1.0"
"IMG_165","Fire Scene","fire","fire:[1254.0,225.0,1280.0,273.0]","1.0"
"IMG_166","Fire Scene","fire","fire:[245.0,428.0,562.0,837.0]; fire:[249.0,869.0,457.0,1088.0]; fire:[527.0,384.0,937.0,742.0]; fire:[639.0,625.0,739.0,1016.0]","1.0"
"IMG_167","Fire Scene","fire","fire:[437.0,312.0,446.0,330.0]","1.0"
"IMG_168","Fire Scene","fire","fire:[439.0,244.0,513.0,309.0]","1.0"
"IMG_169","Fire Scene","fire","fire:[172.0,420.0,221.0,458.0]; fire:[293.0,419.0,337.0,454.0]; fire:[342.0,437.0,369.0,453.0]; fire:[141.0,348.0,218.0,416.0]; fire:[102.0,444.0,112.0,456.0]; fire:[273.0,365.0,289.0,390.0]; fire:[231.0,358.0,261.0,391.0]","1.0"
"IMG_170","Fire Scene","fire","fire:[480.0,530.0,562.0,595.0]; fire:[1191.0,406.0,1267.0,497.0]; fire:[833.0,122.0,1130.0,231.0]; fire:[957.0,472.0,972.0,486.0]","1.0"
"IMG_171","Fire Scene","fire","fire:[234.0,135.0,252.0,148.0]","1.0"
"IMG_172","Fire Scene","fire","fire:[293.0,1.0,612.0,249.0]","1.0"
"IMG_173","Fire Scene","fire","fire:[180.0,135.0,214.0,166.0]; fire:[249.0,142.0,298.0,182.0]; fire:[368.0,145.0,400.0,186.0]","1.0"
"IMG_174","Fire Scene","fire","fire:[305.0,226.0,328.0,272.0]; fire:[309.0,281.0,336.0,319.0]","1.0"
"IMG_175","Accident Scene","fire","fire:[633.0,319.0,719.0,415.0]; fire:[631.0,479.0,655.0,497.0]","1.0"
"IMG_176","Fire Scene","fire","fire:[213.0,500.0,656.0,598.0]; fire:[840.0,524.0,930.0,568.0]; fire:[946.0,531.0,1025.0,565.0]; fire:[856.0,472.0,909.0,521.0]; fire:[815.0,544.0,840.0,564.0]; fire:[445.0,471.0,482.0,487.0]; fire:[552.0,449.0,598.0,468.0]; fire:[406.0,451.0,435.0,468.0]; fire:[386.0,479.0,409.0,500.0]","1.0"
"IMG_177","Fire Scene","fire","fire:[634.0,448.0,658.0,482.0]; fire:[601.0,361.0,631.0,394.0]; fire:[564.0,330.0,603.0,354.0]; fire:[568.0,357.0,594.0,381.0]; fire:[603.0,337.0,634.0,355.0]; fire:[519.0,331.0,559.0,354.0]; fire:[489.0,331.0,516.0,349.0]; fire:[658.0,359.0,701.0,391.0]; fire:[557.0,413.0,588.0,442.0]; fire:[564.0,293.0,598.0,314.0]","1.0"
"IMG_178","Fire Scene","fire","fire:[313.0,151.0,476.0,268.0]; fire:[258.0,256.0,306.0,293.0]; fire:[450.0,338.0,512.0,369.0]; fire:[563.0,311.0,615.0,349.0]; fire:[493.0,294.0,523.0,326.0]; fire:[661.0,374.0,690.0,391.0]","1.0"
"IMG_179","Fire Scene","fire","fire:[382.0,140.0,614.0,361.0]; fire:[739.0,274.0,777.0,580.0]","1.0"
"IMG_180","Fire Scene","fire","fire:[241.0,110.0,483.0,389.0]","1.0"
"IMG_181","Fire Scene","fire","fire:[1021.0,135.0,1116.0,269.0]","1.0"
"IMG_182","Fire Scene","fire","fire:[993.0,124.0,1099.0,271.0]","1.0"
"IMG_183","Fire Scene","fire","fire:[997.0,114.0,1090.0,270.0]","1.0"
"IMG_184","Fire Scene","fire","fire:[1000.0,118.0,1111.0,265.0]","1.0"
"IMG_185","Fire Scene","fire","fire:[1031.0,119.0,1128.0,266.0]","1.0"
"IMG_186","Fire Scene","fire","fire:[1006.0,116.0,1105.0,262.0]","1.0"
"IMG_187","Fire Scene","fire","fire:[1032.0,117.0,1134.0,265.0]","1.0"
"IMG_188","Fire Scene","fire","fire:[1013.0,115.0,1116.0,248.0]","1.0"
"IMG_189","Fire Scene","fire","fire:[1020.0,105.0,1117.0,257.0]","1.0"
"IMG_190","Fire Scene","fire","fire:[1032.0,113.0,1126.0,262.0]","1.0"
"IMG_191","Fire Scene","fire","fire:[1032.5,110.0,1134.5,261.0]","1.0"
"IMG_192","Fire Scene","fire","fire:[1039.0,109.0,1142.0,253.0]","1.0"
"IMG_193","Fire Scene","fire","fire:[1015.0,104.0,1129.0,248.0]","1.0"
"IMG_194","Fire Scene","fire","fire:[1017.0,96.0,1128.0,251.0]","1.0"
"IMG_195","Fire Scene","fire","fire:[1033.0,100.0,1145.0,264.0]","1.0"
"IMG_196","Fire Scene","fire","fire:[1010.0,88.0,1117.0,253.0]","1.0"
"IMG_197","Fire Scene","fire","fire:[1030.0,96.0,1135.0,234.0]","1.0"
"IMG_198","Fire Scene","fire","fire:[1051.0,90.0,1152.0,240.0]","1.0"
"IMG_199","Fire Scene","fire","fire:[1011.0,86.0,1153.0,251.0]","1.0"
"IMG_200","Fire Scene","fire","fire:[1034.0,86.0,1135.0,230.0]","1.0"
"IMG_201","Fire Scene","fire","fire:[1059.0,85.0,1154.0,229.0]","1.0"
"IMG_202","Fire Scene","fire","fire:[1062.0,82.0,1159.0,238.0]","1.0"
"IMG_203","Fire Scene","fire","fire:[985.0,83.0,1147.0,242.0]","1.0"
"IMG_204","Fire Scene","fire","fire:[1062.0,83.0,1176.0,228.0]","1.0"
"IMG_205","Fire Scene","fire","fire:[1035.0,75.0,1160.0,234.0]","1.0"
"IMG_206","Fire Scene","fire","fire:[678.0,377.0,747.0,445.0]","1.0"
"IMG_207","Fire Scene","fire","fire:[690.0,383.0,729.0,444.0]","1.0"
"IMG_208","Fire Scene","fire","fire:[689.0,375.0,752.0,444.0]","1.0"
"IMG_209","Fire Scene","fire","fire:[685.0,370.0,756.0,445.0]","1.0"
"IMG_210","Fire Scene","fire","fire:[685.0,383.0,762.0,447.0]","1.0"
"IMG_211","Fire Scene","fire","fire:[686.0,375.0,767.0,441.0]","1.0"
"IMG_212","Fire Scene","fire","fire:[682.0,359.0,740.0,447.0]","1.0"
"IMG_213","Fire Scene","fire","fire:[689.0,369.0,757.0,440.0]","1.0"
"IMG_214","Fire Scene","fire","fire:[684.0,374.0,729.0,441.0]","1.0"
"IMG_215","Fire Scene","fire","fire:[691.0,369.0,750.0,449.0]","1.0"
"IMG_216","Fire Scene","fire","fire:[682.0,369.0,739.0,449.0]","1.0"
"IMG_217","Fire Scene","fire","fire:[685.0,365.0,756.0,442.0]","1.0"
"IMG_218","Fire Scene","fire","fire:[689.0,359.0,748.0,443.0]","1.0"
"IMG_219","Fire Scene","fire","fire:[679.0,359.0,747.0,436.0]","1.0"
"IMG_220","Fire Scene","fire","fire:[685.0,365.0,737.0,444.0]","1.0"
"IMG_221","Fire Scene","fire","fire:[689.0,360.0,758.0,444.0]","1.0"
"IMG_222","Fire Scene","fire","fire:[664.0,351.0,743.0,442.0]","1.0"
"IMG_223","Fire Scene","fire","fire:[671.0,365.0,737.0,445.0]","1.0"
"IMG_224","Fire Scene","fire","fire:[683.0,340.0,727.0,437.0]","1.0"
"IMG_225","Fire Scene","fire","fire:[695.0,352.0,757.0,445.0]","1.0"
"IMG_226","Fire Scene","fire","fire:[664.0,361.0,736.0,448.0]","1.0"
"IMG_227","Fire Scene","fire","fire:[673.0,362.0,761.0,448.0]","1.0"
"IMG_228","Fire Scene","fire","fire:[668.0,350.0,745.0,440.0]","1.0"
"IMG_229","Fire Scene","fire","fire:[686.0,356.0,755.0,442.0]","1.0"
"IMG_230","Fire Scene","fire","fire:[681.0,349.0,752.0,439.0]","1.0"
"IMG_231","Fire Scene","fire","fire:[645.0,351.0,747.0,456.0]","1.0"
"IMG_232","Fire Scene","fire","fire:[686.0,360.0,757.0,451.0]","1.0"
"IMG_233","Fire Scene","fire","fire:[648.0,399.0,732.0,486.0]","1.0"
"IMG_234","Fire Scene","fire","fire:[639.0,350.0,732.0,483.0]","1.0"
